zone_1,zone_2,metric,rate_1,rate_2,rate_ratio,rr_lower_95,rr_upper_95,p_value
I-35 Corridor,Midwest Metro,mp_count,19.9783,14.6739,1.3615,1.2327,1.5037,0.0
I-35 Corridor,Midwest Metro,bodies_count,8.7826,13.9783,0.6283,0.5548,0.7116,0.0
I-35 Corridor,Northeast Corridor,mp_count,19.9783,15.6304,1.2782,1.1593,1.4092,1e-06
I-35 Corridor,Northeast Corridor,bodies_count,8.7826,39.6522,0.2215,0.1989,0.2467,0.0
I-35 Corridor,Pacific Northwest,mp_count,19.9783,12.6957,1.5736,1.4186,1.7456,0.0
I-35 Corridor,Pacific Northwest,bodies_count,8.7826,3.2826,2.6755,2.2193,3.2255,0.0
I-35 Corridor,Southern California,mp_count,19.9783,37.7609,0.5291,0.4884,0.5731,0.0
I-35 Corridor,Southern California,bodies_count,8.7826,36.913,0.2379,0.2135,0.2652,0.0
I-35 Corridor,US-Mexico Border,mp_count,19.9783,33.5217,0.596,0.5492,0.6467,0.0
I-35 Corridor,US-Mexico Border,bodies_count,8.7826,71.2391,0.1233,0.1112,0.1367,0.0
Midwest Metro,Northeast Corridor,mp_count,14.6739,15.6304,0.9388,0.8452,1.0428,0.238684
Midwest Metro,Northeast Corridor,bodies_count,13.9783,39.6522,0.3525,0.3222,0.3857,0.0
Midwest Metro,Pacific Northwest,mp_count,14.6739,12.6957,1.1558,1.0346,1.2912,0.010395
Midwest Metro,Pacific Northwest,bodies_count,13.9783,3.2826,4.2583,3.5666,5.0841,0.0
Midwest Metro,Southern California,mp_count,14.6739,37.7609,0.3886,0.3555,0.4247,0.0
Midwest Metro,Southern California,bodies_count,13.9783,36.913,0.3787,0.3458,0.4147,0.0
Midwest Metro,US-Mexico Border,mp_count,14.6739,33.5217,0.4377,0.3999,0.4792,0.0
Midwest Metro,US-Mexico Border,bodies_count,13.9783,71.2391,0.1962,0.1803,0.2135,0.0
Northeast Corridor,Pacific Northwest,mp_count,15.6304,12.6957,1.2312,1.1038,1.3732,0.000189
Northeast Corridor,Pacific Northwest,bodies_count,39.6522,3.2826,12.0795,10.2321,14.2603,0.0
Northeast Corridor,Southern California,mp_count,15.6304,37.7609,0.4139,0.3795,0.4515,0.0
Northeast Corridor,Southern California,bodies_count,39.6522,36.913,1.0742,1.0055,1.1476,0.033781
Northeast Corridor,US-Mexico Border,mp_count,15.6304,33.5217,0.4663,0.4268,0.5094,0.0
Northeast Corridor,US-Mexico Border,bodies_count,39.6522,71.2391,0.5566,0.5256,0.5894,0.0
Pacific Northwest,Southern California,mp_count,12.6957,37.7609,0.3362,0.3061,0.3693,0.0
Pacific Northwest,Southern California,bodies_count,3.2826,36.913,0.0889,0.0753,0.105,0.0
Pacific Northwest,US-Mexico Border,mp_count,12.6957,33.5217,0.3787,0.3443,0.4166,0.0
Pacific Northwest,US-Mexico Border,bodies_count,3.2826,71.2391,0.0461,0.0391,0.0542,0.0
Southern California,US-Mexico Border,mp_count,37.7609,33.5217,1.1265,1.0518,1.2064,0.000666
Southern California,US-Mexico Border,bodies_count,36.913,71.2391,0.5182,0.4887,0.5494,0.0
